Date,Open,High,Low,Close,Adj Close,Volume
2015-03-10,63.980000,64.559998,63.400002,64.169998,59.984314,1226000
2015-03-11,64.010002,65.320000,63.599998,65.080002,60.834953,1109300
2015-03-12,65.059998,67.279999,65.019997,67.110001,62.732536,1339600
2015-03-13,67.250000,67.860001,66.239998,66.660004,62.311901,932400
2015-03-16,67.510002,67.989998,67.160004,67.570000,63.162533,1027700
2015-03-17,67.510002,69.000000,67.510002,68.800003,64.312325,1473800
2015-03-18,68.919998,69.419998,67.480003,67.970001,63.536461,1267600
2015-03-19,68.459999,68.930000,67.680000,68.349998,63.891659,835200
2015-03-20,68.629997,68.750000,67.629997,68.680000,64.200142,1790800
2015-03-23,68.680000,69.000000,67.489998,67.489998,63.087753,1170300
2015-03-24,67.199997,67.220001,66.279999,66.980003,62.611034,1127400
2015-03-25,66.889999,66.989998,64.360001,64.599998,60.386272,1346400
2015-03-26,63.919998,64.820000,62.770000,64.610001,60.395618,1622200
2015-03-27,64.930000,65.949997,64.820000,65.589996,61.311680,848500
2015-03-30,66.209999,66.639999,65.650002,66.199997,61.881893,761200
2015-03-31,66.129997,66.480003,65.279999,66.180000,61.863213,929000
2015-04-01,65.330002,65.589996,63.529999,64.000000,59.825405,1068600
2015-04-02,64.019997,64.809998,62.990002,63.070000,58.956074,1220000
2015-04-06,61.950001,63.000000,61.540001,62.400002,58.329762,1728400
2015-04-07,62.130001,63.330002,62.130001,62.759998,58.666283,990900
2015-04-08,63.009998,64.980003,62.919998,64.809998,60.582569,1219000
2015-04-09,64.959999,65.580002,63.669998,64.150002,59.965618,1244500
2015-04-10,64.180000,64.769997,63.869999,63.939999,59.769329,804400
2015-04-13,63.759998,65.019997,63.150002,63.330002,59.199112,1233200
2015-04-14,63.200001,63.529999,62.189999,62.529999,58.451290,1175400
2015-04-15,63.200001,63.700001,62.009998,62.020000,57.974552,1332100
2015-04-16,62.020000,63.560001,61.639999,63.500000,59.358021,1599100
2015-04-17,62.900002,63.709999,62.849998,62.970001,58.862583,1419700
2015-04-20,63.369999,63.590000,62.509998,63.400002,59.264549,1115900
2015-04-21,63.750000,65.000000,63.599998,64.930000,60.694740,990800
2015-04-22,64.940002,65.000000,63.660000,64.309998,60.115177,1280600
2015-04-23,63.650002,66.860001,63.299999,66.339996,62.012760,1998800
2015-04-24,66.940002,68.660004,66.940002,68.300003,63.844933,1530700
2015-04-27,68.220001,68.680000,67.150002,67.400002,63.003639,1179800
2015-04-28,67.000000,67.190002,65.580002,66.470001,62.134289,816500
2015-04-29,66.150002,66.519997,63.970001,65.339996,61.077995,1193000
2015-04-30,64.910004,65.650002,63.840000,64.059998,59.881489,1147700
2015-05-01,64.480003,65.860001,64.190002,65.300003,61.040611,795800
2015-05-04,65.550003,66.120003,64.419998,64.529999,60.320835,1118000
2015-05-05,63.400002,63.820000,62.900002,62.970001,58.862583,999700
2015-05-06,62.500000,63.740002,62.150002,63.240002,59.114975,1155200
2015-05-07,63.270000,65.550003,63.270000,64.959999,60.722786,1049700
2015-05-08,65.860001,66.790001,65.730003,66.269997,61.947346,1088100
2015-05-11,65.959999,66.830002,65.680000,66.330002,62.003422,969600
2015-05-12,65.889999,66.010002,65.139999,65.180000,60.928440,767400
2015-05-13,65.720001,66.209999,64.570000,64.709999,60.489094,684400
2015-05-14,65.239998,66.169998,64.779999,66.129997,61.816460,974800
2015-05-15,66.360001,66.959999,66.089996,66.500000,62.162350,937900
2015-05-18,66.389999,68.000000,66.110001,67.580002,63.171890,1247100
2015-05-19,67.870003,68.269997,66.650002,66.989998,62.806244,1386800
2015-05-20,66.739998,66.970001,63.410000,63.959999,59.965469,2179700
2015-05-21,64.089996,64.830002,63.500000,64.690002,60.649895,1277800
2015-05-22,64.889999,65.239998,64.000000,64.400002,60.378002,850700
2015-05-26,64.440002,64.830002,62.189999,62.369999,58.474777,1295500
2015-05-27,62.720001,63.480000,62.570000,63.400002,59.440456,1224500
2015-05-28,63.490002,64.050003,63.119999,63.740002,59.759216,1044000
2015-05-29,63.700001,64.849998,63.380001,64.639999,60.603008,1394200
2015-06-01,65.010002,66.300003,64.500000,66.089996,61.962456,1808500
2015-06-02,65.099998,66.309998,64.790001,65.720001,61.615551,941200
2015-06-03,65.949997,66.339996,65.360001,65.860001,61.746815,794700
2015-06-04,65.809998,66.660004,65.029999,65.510002,61.418663,966300
2015-06-05,65.480003,65.970001,64.860001,65.660004,61.559319,946100
2015-06-08,65.019997,65.690002,62.310001,62.529999,58.624786,1515900
2015-06-09,61.880001,61.880001,58.150002,60.650002,56.862202,3734600
2015-06-10,60.150002,61.689999,59.860001,60.759998,56.965328,1568900
2015-06-11,60.889999,62.119999,60.759998,61.820000,57.959126,1426700
2015-06-12,61.709999,63.770000,61.610001,63.500000,59.534206,1568300
2015-06-15,62.860001,63.240002,62.080002,62.660000,58.746666,1128900
2015-06-16,62.680000,63.340000,61.889999,62.279999,58.390400,780400
2015-06-17,62.150002,62.669998,61.650002,62.029999,58.156006,1232900
2015-06-18,62.610001,64.370003,62.610001,63.990002,59.993610,1461200
2015-06-19,64.309998,65.419998,63.910000,64.650002,60.612381,4167400
2015-06-22,65.620003,66.260002,65.120003,66.220001,62.084332,1732000
2015-06-23,67.070000,67.480003,66.430000,66.519997,62.365589,1560400
2015-06-24,66.580002,67.239998,66.019997,66.199997,62.065571,1153500
2015-06-25,66.669998,67.150002,65.419998,65.430000,61.343674,1273500
2015-06-26,65.800003,65.900002,64.500000,64.750000,60.706139,1872000
2015-06-29,64.290001,65.599998,63.799999,63.860001,59.871723,1066600
2015-06-30,64.550003,65.480003,64.199997,64.430000,60.406128,1332400
2015-07-01,65.550003,65.639999,62.590000,64.300003,60.284256,1956600
2015-07-02,64.660004,65.309998,63.820000,65.010002,60.949902,1109000
2015-07-06,64.610001,66.389999,64.540001,66.160004,62.028091,1331400
2015-07-07,66.250000,67.629997,65.699997,67.440002,63.228138,1464900
2015-07-08,67.040001,67.089996,65.500000,66.120003,61.990593,1324600
2015-07-09,67.070000,67.220001,66.440002,66.540001,62.384357,922700
2015-07-10,68.010002,70.690002,67.800003,70.550003,66.143921,2292100
2015-07-13,71.510002,72.650002,71.510002,72.250000,67.737732,1438200
2015-07-14,71.959999,73.699997,71.459999,73.620003,69.022186,1782500
2015-07-15,73.489998,74.540001,72.129997,73.720001,69.115936,1741500
2015-07-16,73.989998,75.470001,73.879997,74.690002,70.025368,1555800
2015-07-17,74.989998,75.349998,74.320000,74.769997,70.100365,1111500
2015-07-20,75.040001,75.250000,73.699997,74.139999,69.509712,1355700
2015-07-21,74.220001,75.029999,73.970001,74.949997,70.269112,1155700
2015-07-22,74.459999,75.879997,74.459999,75.830002,71.094154,1630700
2015-07-23,76.879997,77.800003,72.610001,73.790001,69.181564,2246900
2015-07-24,74.489998,75.239998,73.449997,74.099998,69.472191,1551600
2015-07-27,73.389999,73.550003,72.550003,73.019997,68.459641,1226900
2015-07-28,73.389999,74.470001,72.779999,74.320000,69.678467,1540200
2015-07-29,74.360001,75.000000,73.360001,74.779999,70.109718,1310300
2015-07-30,74.400002,75.279999,73.889999,75.160004,70.465996,870000
2015-07-31,75.360001,75.870003,74.410004,75.750000,71.019157,1186000
2015-08-03,76.139999,78.320000,76.010002,78.019997,73.147385,1290500
2015-08-04,78.120003,78.419998,77.000000,77.769997,72.913002,930000
2015-08-05,78.160004,79.610001,77.790001,79.029999,74.094307,1438800
2015-08-06,80.089996,80.529999,76.879997,77.750000,72.894249,1061900
2015-08-07,77.599998,78.370003,77.019997,77.989998,73.119255,667900
